R   2A1	1B1	1B2	1A2	2A2
1.97	99726.71936	96917.64163	96917.66796	99724.62557	96907.70381
1.98	99518.52792	96835.73369	96835.76003	99516.46486	96825.1221
1.99	99317.98956	96756.61748	96756.64382	99315.95942	96745.30137
2	99124.83214	96680.18324	96680.20739	99122.83492	96668.13628
2.01	98938.78569	96606.31467	96606.33881	98936.817	96593.50613
2.02	98759.59124	96534.91738	96534.94371	98757.65328	96521.32531
2.03	98586.99858	96465.8948	96465.91894	98585.09135	96451.48629
2.04	98420.77289	96399.15257	96399.17671	98418.89419	96383.90566
2.05	98260.67053	96334.5941	96334.61605	98258.82036	96318.48028
2.06	98106.47205	96272.13162	96272.15577	98104.64822	96255.13112
2.07	97957.96015	96211.68831	96211.71245	97956.16485	96193.77479
2.08	97814.92415	96153.18076	96153.2071	97813.15518	96134.33667
2.09	97677.16211	96096.52339	96096.55192	97675.41729	96076.72897
2.11	97416.67865	95988.47164	95988.50017	97414.98431	95966.72829
2.13	97175.03269	95886.96901	95886.99535	97173.38663	95863.23941
2.15	96950.83936	95791.48657	95791.5151	96949.235	95765.75976
2.18	96644.47692	95658.46739	95658.49812	96642.93401	95629.80839
2.2	96458.47656	95575.94054	95575.96688	96456.97316	95545.42918
2.22	96286.30749	95497.86024	95497.88219	96284.3388	95465.6304
2.25	96050.1045	95388.24803	95388.27217	96048.21044	95353.81027
2.28	95838.599	95286.67078	95286.69712	95836.77516	95250.60671
2.3	95709.94516	95222.91779	95222.94413	95708.16522	95186.17115
2.33	95533.63241	95132.60179	95132.62593	95531.91612	95095.51935
2.36	95375.32317	95047.98993	95048.02285	95373.67053	95011.47593
2.38	95278.77408	94994.46006	94994.4864	95277.16095	94958.83494
2.41	95146.07533	94918.12459	94918.15093	95144.52365	94884.58448
2.44	95026.43752	94846.16325	94846.18739	95024.94948	94815.52898
2.47	94918.37918	94778.26439	94778.28853	94916.9504	94751.22731
2.49	94852.11101	94735.13323	94735.15957	94850.72393	94710.7913
2.52	94760.48255	94673.4872	94673.50914	94759.15692	94653.50623
2.55	94677.22924	94615.3352	94615.35934	94675.96507	94599.94344
2.58	94601.3832	94560.49727	94560.52141	94600.17609	94549.75837
2.61	94532.09506	94508.79782	94508.82416	94530.9472	94502.63498
2.64	94468.61202	94460.04812	94460.07226	94463.5224	94462.28457
2.67	94410.26908	94414.05502	94414.07916	94410.26908	94415.40479
2.71	94339.47095	94356.68874	94356.71507	94339.47095	94363.15227
2.74	94290.96048	94316.38003	94316.40636	94290.96048	94326.28053
2.77	94245.89355	94278.19364	94278.21778	94245.89355	94291.17556
2.8	94203.88172	94241.94521	94241.96935	94203.88172	94257.66178
2.84	94152.0484	94196.33838	94196.36472	94152.0484	94215.17369
2.87	94115.93604	94163.98123	94164.00757	94115.93604	94184.78523
2.91	94070.99203	94123.03605	94123.05799	94070.99203	94146.00626
2.94	94039.41621	94093.8108	94093.83495	94039.41621	94118.09348
2.98	93999.82738	94056.62302	94056.64717	93999.82738	94082.27522
3.01	93971.79169	94029.92613	94029.95027	93971.79169	94056.35087
3.05	93936.39043	93995.78027	93995.80441	93936.39043	94022.94025
3.09	93903.00176	93963.13122	93963.15536	93903.00176	93990.72138
3.13	93871.4018	93931.83414	93931.85828	93871.4018	93959.59548
3.17	93841.41279	93901.77489	93901.79904	93841.41279	93929.49234
3.21	93812.86572	93872.84594	93872.86789	93812.86572	93900.31978
3.25	93785.63989	93844.96169	93844.98583	93785.63989	93872.04047
3.29	93759.62556	93818.06068	93818.08483	93759.62556	93844.60834
3.33	93734.72617	93792.08147	93792.10562	93734.72617	93817.99484
3.38	93705.0532	93760.83048	93760.85462	93705.0532	93785.82425
3.42	93682.39903	93736.7607	93736.78265	93682.39903	93760.9468
3.47	93655.34878	93707.78785	93707.81199	93655.34878	93730.89195
3.52	93629.61318	93679.99797	93680.02431	93629.61318	93701.97177
3.56	93609.91314	93658.57944	93658.61676	93609.91314	93679.63145
3.61	93586.35473	93632.81532	93632.84166	93586.35473	93652.68875
3.66	93563.93321	93608.12881	93608.15295	93563.93321	93626.82586
3.72	93538.43464	93579.88023	93579.90437	93538.43464	93597.17922
3.77	93518.30882	93557.45212	93557.47846	93518.30882	93573.61423
3.82	93499.15307	93536.00945	93536.03579	93499.15307	93551.06102
3.88	93477.38558	93511.53583	93511.56217	93477.38558	93525.30567
3.94	93456.88445	93488.38784	93488.41418	93456.88445	93500.93301
4	93437.59263	93466.52598	93466.55231	93437.59263	93477.91232
4.06	93419.44208	93445.89975	93445.92609	93419.44208	93456.19311
4.12	93402.37354	93426.45869	93426.48283	93402.37354	93435.7271
4.19	93383.77526	93405.22232	93405.24866	93383.77526	93413.38019
4.26	93366.46749	93385.45205	93385.47838	93366.46749	93392.59156
4.33	93350.39097	93367.07544	93367.10177	93350.39097	93373.28876
4.4	93335.45573	93350.01348	93350.03762	93335.45573	93355.38402
4.48	93319.69745	93332.02753	93332.05387	93319.69745	93336.53554
4.55	93306.97231	93317.53343	93317.55976	93306.97231	93321.36765
4.64	93291.95585	93300.47805	93300.50439	93291.95585	93303.54411
4.72	93279.77721	93286.69505	93286.72138	93279.77721	93289.17292
4.81	93267.27154	93272.64428	93272.68818	93267.27154	93274.56907
4.9	93255.92251	93259.9389	93259.98279	93255.92251	93261.37426
5	93244.54275	93247.28399	93247.32569	93244.54275	93248.26723
5.1	93234.32621	93236.01397	93236.05567	93234.32621	93236.62411
5.21	93224.29622	93225.04243	93225.08632	93224.29622	93225.32775
5.33	93214.62616	93214.57349	93214.61738	93214.62616	93214.58227
5.45	93206.13469	93205.47846	93205.52236	93206.13469	93205.28093
5.58	93198.17873	93197.01332	93197.05502	93198.17873	93196.63802
5.75	93189.21978	93187.65712	93187.70102	93189.21978	93187.15013
5.86	93184.23332	93182.51922	93182.56531	93184.23332	93181.96175
6.02	93177.94756	93176.12373	93176.16543	93177.94756	93175.52456
6.2	93172.03711	93170.19791	93170.24181	93172.03711	93169.59655
6.39	93166.89702	93165.13024	93165.17414	93166.89702	93164.55083
6.6	93162.29024	93160.65955	93160.70125	93162.29024	93160.12622
6.83	93158.27166	93156.82313	93156.86702	93158.27166	93156.35565
7.1	93154.63277	93153.4103	93153.45419	93154.63277	93153.01744
7.31	93152.42925	93151.37577	93151.41966	93152.42925	93151.04217
7.77	93149.00544	93148.26801	93148.3119	93149.00544	93148.04195
8.22	93146.94238	93146.43101	93146.4749	93146.94238	93146.28396
8.79	93145.37753	93145.09002	93145.11635	93145.37753	93145.00662
9.6	93144.36794	93144.22968	93144.24723	93144.36794	93144.19017
11	93143.85876	93143.79731	93143.81267	93143.85876	93143.78414
28	93143.76	93143.7183	93143.73366	93143.76	93143.71391
100	93143.76	93143.76	93143.76	93143.76	93143.76
