R	0	1	2
1.6933664	101217.1781786	101219.7460318	102996.3273192
1.8366184	99092.1436053	99098.2845055	100850.2253762
1.9798703	97858.9507753	97872.5823446	99566.4326703
2.1231223	97111.9161982	97138.3804491	98664.5609364
2.2663742	96624.177728	96664.5325282	97499.2011303
2.4096262	96276.7274412	96320.589446	96709.9220764
2.5528781	96012.910157	96045.5613977	96211.5390866
2.6961301	95802.9409732	95819.5486184	95881.1156416
2.839382	95627.8572818	95632.3499275	95646.2931508
2.982634	95470.1669549	95473.9858135	95467.4959487
3.125886	95323.9353984	95337.4506462	95324.3436212
3.2691379	95206.4286815	95218.8685036	95206.4089288
3.4123899	95108.4991016	95116.566989	95108.5386071
3.5556418	95028.4874305	95029.5913879	95027.7631643
3.6988938	94955.4133525	94957.0023488	94961.9515017
3.8421457	94893.8551082	94897.533503	94909.1327372
3.9853977	94844.2121417	94849.7341234	94867.4018311
4.1286496	94805.1873577	94812.1710405	94834.858133
4.2719016	94775.6219303	94783.6415333	94810.0070206
4.4151536	94754.6160135	94763.2150295	94791.7357577
4.5584055	94741.4233935	94750.2023787	94779.3222726
4.7016575	94735.2539616	94743.8507829	94772.3298109
4.8449094	94735.1925087	94743.3372122	94770.1877385
4.9881614	94740.1921408	94747.7179259	94772.3254214
5.1314133	94749.0852528	94755.8823821	94777.8847138
5.2746653	94760.7700821	94766.7595448	94786.0733122
5.4179172	94774.1909557	94779.4144519	94796.0352657
5.5611692	94788.4831436	94792.9538419	94807.0836185
5.7044212	94802.9487165	94806.7302644	94818.5467784
5.8476731	94817.0477667	94820.2060067	94829.9594592
5.9909251	94830.3610978	94832.9465089	94840.9068537
6.134177	94842.6077821	94844.7059596	94851.1343715
6.277429	94853.6539403	94855.3395054	94860.4488748
6.4206809	94863.4205613	94864.7505776	94868.7625738
6.5639329	94871.9120347	94872.939176	94876.0425473
6.7071848	94879.1722555	94879.9623642	94882.3414692
6.8504368	94885.3065714	94885.8881792	94887.6790921
6.9936888	94890.3961881	94890.8285531	94892.1410114
7.1369407	94894.5684008	94894.8888338	94895.8435484
7.2801927	94897.9483101	94898.1809532	94898.8569351
7.4234446	94900.6522375	94900.8190383	94901.2821297
7.5666966	94902.7921152	94902.9128262	94903.2200907
7.7099485	94904.4710961	94904.5479122	94904.7432446
7.8532005	94905.7659964	94905.8055018	94905.9262129
7.9964524	94906.7580217	94906.773385	94906.8392274
8.1397044	94907.5042355	94907.517404	94907.5415462
8.2829564	94908.0573116	94908.0814538	94908.07048
8.4262083	94908.4611449	94908.5006503	94908.4633396
8.5694603	94908.7596304	94908.8123043	94908.7574356
8.7127122	94908.9812997	94909.0405579	94908.979105
8.8559642	94909.1415162	94909.2051639	94909.1415162
8.9992161	94909.2600325	94909.3258749	94909.2600325
9.1424681	94909.3500171	94909.4180543	94909.3522119
9.28572	94909.420249	94909.4860914	94909.420249
9.428972	94909.4707282	94909.5387653	94909.4729229
9.572224	94909.5102336	94909.576076	94909.5102336
9.7154759	94909.54096	94909.6068024	94909.54096
9.8587279	94909.5629075	94909.6287499	94909.5629075
10.0019798	94909.5804655	94909.6463079	94909.5804655
10.1452318	94909.5958287	94909.6616711	94909.5958287
10.2884837	94909.6089972	94909.6748396	94909.6089972
10.4317357	94909.6221657	94909.6880081	94909.6221657
10.5749876	94909.6309446	94909.696787	94909.6309446
10.7182396	94909.6375289	94909.7033713	94909.6375289
10.8614916	94909.6441131	94909.7099555	94909.6441131
11.0047435	94909.6485026	94909.714345	94909.6485026
11.1479955	94909.6550869	94909.7209293	94909.6550869
11.2912474	94909.6594764	94909.7253187	94909.6594764
11.4344994	94909.6660606	94909.731903	94909.6660606
11.5777513	94909.6726448	94909.7384872	94909.6726448
11.7210033	94909.6792291	94909.7450715	94909.6792291
11.8642552	94909.6858133	94909.7516557	94909.6858133
12.0075072	94909.6923976	94909.7582399	94909.6923976
12.1507592	94909.696787	94909.7626294	94909.696787
12.2940111	94909.6989818	94909.7626294	94909.6989818
12.4372631	94909.6989818	94909.7626294	94909.6989818
12.580515	94909.6989818	94909.7604347	94909.6989818
12.723767	94909.696787	94909.7626294	94909.696787
12.8670189	94909.6945923	94909.7692137	94909.6945923
13.0102709	94909.6945923	94909.7757979	94909.6945923
13.1535228	94909.6945923	94909.7823822	94909.6945923
13.2967748	94909.6989818	94909.7867717	94909.6989818
13.4400268	94909.705566	94909.7867717	94909.705566
13.5832787	94909.7121503	94909.7867717	94909.7121503
13.7265307	94909.7187345	94909.7845769	94909.7187345
13.8697826	94909.7209293	94909.7845769	94909.7209293
14.0130346	94909.7209293	94909.7845769	94909.7209293
14.1562865	94909.7209293	94909.7845769	94909.7209293
14.2995385	94909.7187345	94909.7845769	94909.7187345
14.4427904	94909.7187345	94909.7845769	94909.7187345
14.5860424	94909.7187345	94909.7845769	94909.7187345
14.7292944	94909.7187345	94909.7845769	94909.7187345
14.8725463	94909.7187345	94909.7845769	94909.7187345
15.0157983	94909.7187345	94909.7845769	94909.7187345
15.1590502	94909.7187345	94909.7845769	94909.7187345
15.3023022	94909.7187345	94909.7845769	94909.7187345
15.4455541	94909.7187345	94909.7845769	94909.7187345
15.5888061	94909.7187345	94909.7845769	94909.7187345
15.732058	94909.7187345	94909.7845769	94909.7187345
15.87531	94909.7187345	94909.7845769	94909.7187345
